patent_id,inventor_id
4993763,fl:te_ln:tanimoto-5
12414845,fl:ed_ln:peire-1
7598930,fl:je_ln:choi-156
4490020,fl:ha_ln:sakaguchi-1
5985637,fl:sh_ln:iwahara-1
7995614,fl:yo_ln:ogawa-15
11831882,fl:ya_ln:ma-108
8728360,fl:ch_ln:hayashi-10
4824841,fl:lu_ln:pavesi-1
8859877,fl:yu_ln:fujiwara-9
D250736,fl:er_ln:stern-6
11279031,fl:ku_ln:yamamoto-12
11482092,fl:me_ln:beveridge-1
12165639,fl:ch_ln:garg-4
3941478,fl:ro_ln:seymour-10
12233151,fl:ti_ln:carle-1
9672880,fl:ti_ln:buck-1
10242288,fl:pi_ln:li-38
8134071,fl:vo_ln:aue-1
10306307,fl:ja_ln:young-29
6731852,fl:hi_ln:matsuura-26
D959520,fl:ch_ln:su-187
11154058,fl:ma_ln:weiss-22
6897980,fl:to_ln:ochiai-8
6786770,fl:ch_ln:huang-466
5152514,fl:mu_ln:meetze-1
10627976,fl:jo_ln:masterson-8
5133378,0012xd77vu26r5ij34ouqupie
4740337,fl:ro_ln:hanson-17
10299811,fl:ja_ln:mcnamara-1
7078194,fl:qi_ln:wang-271
4399203,fl:ph_ln:bennett-2
10061091,fl:da_ln:verheyden-2
9279277,fl:do_ln:attanasio-1
8115228,fl:vi_ln:mercier-1
10335768,fl:se_ln:hong-163
9956154,fl:th_ln:benvegnu-1
4808592,fl:pe_ln:nelson-8
5738801,fl:be_ln:ziegler-5
8462537,fl:gi_ln:spadini-2
12211848,fl:ru_ln:xie-13
9096359,fl:fa_ln:pucci-1
D685938,fl:jo_ln:baker-24
8527980,fl:ch_ln:stich-2
6505557,fl:te_ln:desaulniers-1
7742553,fl:kh_ln:bataineh-1
6142975,fl:da_ln:anderson-91
10267185,fl:ke_ln:wilkes-1
8031420,fl:yu_ln:lee-176
10032524,fl:ja_ln:sabde-1
4347812,fl:to_ln:kosuda-1
6787425,fl:tr_ln:hurd-3
10237534,fl:di_ln:offenberg-1
9680042,fl:sv_ln:lamprecht-1
9263451,fl:ta_ln:ohnuki-6
11840772,fl:ry_ln:terry-1
9879726,fl:ju_ln:reingen-1
9944308,fl:ka_ln:hehle-1
9329372,fl:ka_ln:shimomura-10
11926708,fl:ky_ln:ford-4
7658765,fl:ch_ln:tarapata-2
11284075,fl:hi_ln:egilmez-1
12151994,fl:ph_ln:pagnier-1
